emp_id,similarity,rule_norm,final_score,missing_must_haves
E0103,0.039,0.444,0.161,etl
E0539,0.036,0.444,0.159,etl
E0464,0.036,0.444,0.159,etl
E0445,0.034,0.444,0.157,etl
E0170,0.034,0.444,0.157,etl
E0179,0.035,0.444,0.157,etl
E0378,0.033,0.444,0.156,etl
E0522,0.031,0.444,0.155,etl
E0555,0.028,0.444,0.153,etl
E0191,0.028,0.444,0.153,etl
E0203,0.024,0.444,0.15,etl
E0371,0.024,0.444,0.15,etl
E0470,0.019,0.444,0.147,etl
E0018,0.017,0.444,0.146,etl
E0364,0.018,0.444,0.146,etl
E0358,0.018,0.444,0.146,etl
E0281,0.018,0.444,0.146,etl
E0325,0.018,0.444,0.146,etl
E0160,0.018,0.444,0.146,etl
E0301,0.018,0.444,0.146,etl
E0099,0.019,0.444,0.146,etl
E0195,0.018,0.444,0.146,etl
E0002,0.017,0.444,0.145,etl
E0531,0.017,0.444,0.145,etl
E0045,0.016,0.444,0.145,etl
E0448,0.017,0.444,0.145,etl
E0377,0.017,0.444,0.145,etl
E0483,0.016,0.444,0.145,etl
E0225,0.017,0.444,0.145,etl
E0390,0.017,0.444,0.145,etl
E0083,0.017,0.444,0.145,etl
E0066,0.016,0.444,0.145,etl
E0392,0.016,0.444,0.145,etl
E0089,0.016,0.444,0.145,etl
E0313,0.016,0.444,0.144,etl
E0234,0.016,0.444,0.144,etl
E0056,0.015,0.444,0.144,etl
E0361,0.015,0.444,0.144,etl
E0194,0.015,0.444,0.144,etl
E0406,0.015,0.444,0.144,etl
E0176,0.015,0.444,0.144,etl
E0139,0.016,0.444,0.144,etl
E0411,0.11,0.222,0.144,sql; etl
E0573,0.016,0.444,0.144,etl
E0578,0.016,0.444,0.144,etl
E0007,0.016,0.444,0.144,etl
E0156,0.015,0.444,0.144,etl
E0033,0.015,0.444,0.144,etl
E0435,0.015,0.444,0.144,etl
E0456,0.016,0.444,0.144,etl
E0085,0.015,0.444,0.144,etl
E0309,0.015,0.444,0.144,etl
E0237,0.015,0.444,0.144,etl
E0020,0.014,0.444,0.143,etl
E0171,0.014,0.444,0.143,etl
E0117,0.014,0.444,0.143,etl
E0130,0.014,0.444,0.143,etl
E0173,0.013,0.444,0.143,etl
E0367,0.014,0.444,0.143,etl
E0502,0.014,0.444,0.143,etl
E0506,0.014,0.444,0.143,etl
E0077,0.014,0.444,0.143,etl
E0472,0.014,0.444,0.143,etl
E0011,0.014,0.444,0.143,etl
E0343,0.013,0.444,0.142,etl
E0003,0.012,0.444,0.141,etl
E0235,0.0,0.444,0.133,etl
E0399,0.0,0.444,0.133,etl
E0249,0.0,0.444,0.133,etl
E0043,0.0,0.444,0.133,etl
E0123,0.0,0.444,0.133,etl
E0407,0.0,0.444,0.133,etl
E0543,0.0,0.444,0.133,etl
E0239,0.085,0.222,0.126,sql; etl
E0394,0.081,0.222,0.123,sql; etl
E0484,0.074,0.222,0.119,sql; etl
E0362,0.039,0.222,0.094,sql; etl
E0304,0.039,0.222,0.094,sql; etl
E0315,0.039,0.222,0.094,python; etl
E0135,0.032,0.222,0.089,sql; etl
E0218,0.031,0.222,0.089,sql; etl
E0000,0.125,0.0,0.088,python; sql; etl
E0363,0.031,0.222,0.088,sql; etl
E0365,0.03,0.222,0.088,python; etl
E0369,0.03,0.222,0.087,python; etl
E0500,0.029,0.222,0.087,python; etl
E0296,0.024,0.222,0.083,sql; etl
E0577,0.021,0.222,0.081,sql; etl
E0581,0.02,0.222,0.081,sql; etl
E0385,0.115,0.0,0.08,python; sql; etl
E0289,0.017,0.222,0.079,python; etl
E0295,0.017,0.222,0.079,sql; etl
E0589,0.018,0.222,0.079,python; etl
E0308,0.017,0.222,0.079,sql; etl
E0431,0.017,0.222,0.079,sql; etl
E0372,0.017,0.222,0.079,sql; etl
E0276,0.017,0.222,0.079,sql; etl
E0481,0.018,0.222,0.079,sql; etl
E0186,0.017,0.222,0.079,sql; etl
E0163,0.018,0.222,0.079,sql; etl
E0013,0.016,0.222,0.078,sql; etl
E0114,0.015,0.222,0.078,python; etl
E0165,0.016,0.222,0.078,sql; etl
E0583,0.016,0.222,0.078,sql; etl
E0026,0.016,0.222,0.078,sql; etl
E0480,0.017,0.222,0.078,sql; etl
E0331,0.016,0.222,0.078,sql; etl
E0059,0.016,0.222,0.078,sql; etl
E0253,0.016,0.222,0.078,sql; etl
E0306,0.017,0.222,0.078,sql; etl
E0400,0.016,0.222,0.078,sql; etl
E0182,0.016,0.222,0.078,sql; etl
E0174,0.016,0.222,0.078,sql; etl
E0338,0.015,0.222,0.077,sql; etl
E0397,0.015,0.222,0.077,python; etl
E0382,0.015,0.222,0.077,sql; etl
E0373,0.014,0.222,0.077,sql; etl
E0513,0.015,0.222,0.077,sql; etl
E0467,0.014,0.222,0.077,sql; etl
E0293,0.015,0.222,0.077,sql; etl
E0228,0.015,0.222,0.077,python; etl
E0409,0.014,0.222,0.077,sql; etl
E0440,0.014,0.222,0.077,sql; etl
E0119,0.015,0.222,0.077,sql; etl
E0164,0.014,0.222,0.077,python; etl
E0150,0.015,0.222,0.077,sql; etl
E0561,0.015,0.222,0.077,python; etl
E0155,0.014,0.222,0.077,sql; etl
E0571,0.015,0.222,0.077,python; etl
E0550,0.015,0.222,0.077,sql; etl
E0044,0.013,0.222,0.076,python; etl
E0564,0.014,0.222,0.076,sql; etl
E0014,0.014,0.222,0.076,sql; etl
E0153,0.013,0.222,0.076,python; etl
E0146,0.014,0.222,0.076,sql; etl
E0046,0.013,0.222,0.076,python; etl
E0041,0.013,0.222,0.076,sql; etl
E0336,0.013,0.222,0.076,sql; etl
E0316,0.014,0.222,0.076,sql; etl
E0284,0.013,0.222,0.076,sql; etl
E0288,0.013,0.222,0.076,sql; etl
E0248,0.013,0.222,0.076,sql; etl
E0473,0.014,0.222,0.076,python; etl
E0498,0.014,0.222,0.076,sql; etl
E0478,0.014,0.222,0.076,sql; etl
E0410,0.013,0.222,0.076,sql; etl
E0190,0.013,0.222,0.076,python; etl
E0184,0.014,0.222,0.076,python; etl
E0188,0.014,0.222,0.076,python; etl
E0294,0.013,0.222,0.076,sql; etl
E0391,0.012,0.222,0.075,sql; etl
E0074,0.013,0.222,0.075,python; etl
E0261,0.012,0.222,0.075,sql; etl
E0546,0.012,0.222,0.075,sql; etl
E0548,0.012,0.222,0.075,sql; etl
E0050,0.012,0.222,0.075,sql; etl
E0509,0.011,0.222,0.074,sql; etl
E0071,0.011,0.222,0.074,sql; etl
E0005,0.0,0.222,0.067,sql; etl
E0558,0.0,0.222,0.067,sql; etl
E0547,0.0,0.222,0.067,sql; etl
E0549,0.0,0.222,0.067,sql; etl
E0554,0.0,0.222,0.067,sql; etl
E0597,0.0,0.222,0.067,sql; etl
E0004,0.0,0.222,0.067,sql; etl
E0042,0.0,0.222,0.067,sql; etl
E0568,0.0,0.222,0.067,sql; etl
E0565,0.0,0.222,0.067,sql; etl
E0034,0.0,0.222,0.067,sql; etl
E0030,0.0,0.222,0.067,sql; etl
E0031,0.0,0.222,0.067,sql; etl
E0038,0.0,0.222,0.067,sql; etl
E0025,0.0,0.222,0.067,sql; etl
E0168,0.0,0.222,0.067,sql; etl
E0017,0.0,0.222,0.067,sql; etl
E0157,0.0,0.222,0.067,sql; etl
E0158,0.0,0.222,0.067,sql; etl
E0148,0.0,0.222,0.067,sql; etl
E0015,0.0,0.222,0.067,sql; etl
E0010,0.0,0.222,0.067,sql; etl
E0595,0.0,0.222,0.067,sql; etl
E0541,0.0,0.222,0.067,sql; etl
E0537,0.0,0.222,0.067,sql; etl
E0552,0.0,0.222,0.067,sql; etl
E0544,0.0,0.222,0.067,sql; etl
E0570,0.0,0.222,0.067,sql; etl
E0530,0.0,0.222,0.067,sql; etl
E0532,0.0,0.222,0.067,sql; etl
E0580,0.0,0.222,0.067,sql; etl
E0562,0.0,0.222,0.067,sql; etl
E0575,0.0,0.222,0.067,sql; etl
E0574,0.0,0.222,0.067,sql; etl
E0563,0.0,0.222,0.067,sql; etl
E0566,0.0,0.222,0.067,sql; etl
E0593,0.0,0.222,0.067,sql; etl
E0009,0.0,0.222,0.067,sql; etl
E0594,0.0,0.222,0.067,sql; etl
E0133,0.0,0.222,0.067,sql; etl
E0131,0.0,0.222,0.067,sql; etl
E0144,0.0,0.222,0.067,sql; etl
E0143,0.0,0.222,0.067,sql; etl
E0142,0.0,0.222,0.067,sql; etl
E0141,0.0,0.222,0.067,sql; etl
E0140,0.0,0.222,0.067,sql; etl
E0197,0.0,0.222,0.067,sql; etl
E0207,0.0,0.222,0.067,sql; etl
E0202,0.0,0.222,0.067,sql; etl
E0438,0.0,0.222,0.067,sql; etl
E0434,0.0,0.222,0.067,sql; etl
E0444,0.0,0.222,0.067,sql; etl
E0441,0.0,0.222,0.067,sql; etl
E0454,0.0,0.222,0.067,sql; etl
E0463,0.0,0.222,0.067,sql; etl
E0461,0.0,0.222,0.067,sql; etl
E0151,0.0,0.222,0.067,sql; etl
E0149,0.0,0.222,0.067,sql; etl
E0432,0.0,0.222,0.067,sql; etl
E0424,0.0,0.222,0.067,sql; etl
E0412,0.0,0.222,0.067,sql; etl
E0422,0.0,0.222,0.067,sql; etl
E0419,0.0,0.222,0.067,sql; etl
E0430,0.0,0.222,0.067,sql; etl
E0169,0.0,0.222,0.067,sql; etl
E0116,0.0,0.222,0.067,sql; etl
E0120,0.0,0.222,0.067,sql; etl
E0115,0.0,0.222,0.067,sql; etl
E0125,0.0,0.222,0.067,sql; etl
E0128,0.0,0.222,0.067,sql; etl
E0136,0.0,0.222,0.067,sql; etl
E0210,0.0,0.222,0.067,sql; etl
E0209,0.0,0.222,0.067,sql; etl
E0221,0.0,0.222,0.067,sql; etl
E0220,0.0,0.222,0.067,sql; etl
E0219,0.0,0.222,0.067,sql; etl
E0214,0.0,0.222,0.067,sql; etl
E0393,0.0,0.222,0.067,sql; etl
E0216,0.0,0.222,0.067,sql; etl
E0375,0.0,0.222,0.067,sql; etl
E0376,0.0,0.222,0.067,sql; etl
E0266,0.0,0.222,0.067,sql; etl
E0268,0.0,0.222,0.067,sql; etl
E0398,0.0,0.222,0.067,sql; etl
E0387,0.0,0.222,0.067,sql; etl
E0379,0.0,0.222,0.067,sql; etl
E0380,0.0,0.222,0.067,sql; etl
E0515,0.0,0.222,0.067,sql; etl
E0528,0.0,0.222,0.067,sql; etl
E0526,0.0,0.222,0.067,sql; etl
E0525,0.0,0.222,0.067,sql; etl
E0510,0.0,0.222,0.067,sql; etl
E0497,0.0,0.222,0.067,sql; etl
E0401,0.0,0.222,0.067,sql; etl
E0404,0.0,0.222,0.067,sql; etl
E0240,0.0,0.222,0.067,sql; etl
E0226,0.0,0.222,0.067,sql; etl
E0231,0.0,0.222,0.067,sql; etl
E0187,0.0,0.222,0.067,sql; etl
E0161,0.0,0.222,0.067,sql; etl
E0177,0.0,0.222,0.067,sql; etl
E0427,0.0,0.222,0.067,sql; etl
