emp_id,similarity,rule_norm,final_score,missing_must_haves
E0259,0.346,1.0,0.542,-
E0197,0.29,1.0,0.503,-
E0360,0.28,1.0,0.496,-
E0409,0.258,1.0,0.481,-
E0133,0.247,1.0,0.473,-
E0024,0.246,1.0,0.472,-
E0517,0.287,0.889,0.468,-
E0270,0.235,1.0,0.465,-
E0112,0.275,0.889,0.459,-
E0113,0.219,1.0,0.453,-
E0264,0.306,0.778,0.447,python
E0379,0.253,0.889,0.444,-
E0546,0.203,1.0,0.442,-
E0562,0.246,0.889,0.439,-
E0349,0.241,0.889,0.436,-
E0240,0.194,1.0,0.436,-
E0491,0.238,0.889,0.433,-
E0093,0.235,0.889,0.431,-
E0599,0.231,0.889,0.428,-
E0356,0.229,0.889,0.427,-
E0488,0.228,0.889,0.426,-
E0282,0.226,0.889,0.425,-
E0583,0.225,0.889,0.424,-
E0440,0.217,0.889,0.418,-
E0136,0.212,0.889,0.415,-
E0590,0.256,0.778,0.412,scikit-learn
E0014,0.205,0.889,0.41,-
E0580,0.243,0.778,0.403,-
E0266,0.242,0.778,0.403,-
E0393,0.237,0.778,0.4,-
E0214,0.191,0.889,0.4,-
E0168,0.235,0.778,0.398,-
E0274,0.236,0.778,0.398,-
E0169,0.236,0.778,0.398,-
E0345,0.229,0.778,0.394,-
E0053,0.229,0.778,0.394,-
E0273,0.227,0.778,0.393,-
E0143,0.228,0.778,0.393,-
E0209,0.229,0.778,0.393,-
E0205,0.226,0.778,0.391,python
E0592,0.225,0.778,0.391,-
E0341,0.175,0.889,0.389,-
E0507,0.222,0.778,0.389,python
E0125,0.222,0.778,0.389,-
E0082,0.219,0.778,0.387,python
E0372,0.219,0.778,0.386,-
E0329,0.216,0.778,0.385,-
E0059,0.168,0.889,0.385,-
E0031,0.204,0.778,0.376,-
E0423,0.247,0.667,0.373,python
E0088,0.152,0.889,0.373,-
E0065,0.199,0.778,0.373,-
E0505,0.199,0.778,0.373,python
E0422,0.197,0.778,0.371,-
E0017,0.193,0.778,0.369,-
E0328,0.147,0.889,0.369,-
E0429,0.241,0.667,0.369,python
E0441,0.194,0.778,0.369,-
E0509,0.144,0.889,0.367,-
E0391,0.191,0.778,0.367,-
E0498,0.19,0.778,0.366,-
E0334,0.185,0.778,0.363,-
E0380,0.18,0.778,0.359,-
E0565,0.178,0.778,0.358,scikit-learn
E0427,0.177,0.778,0.357,-
E0376,0.129,0.889,0.357,-
E0187,0.177,0.778,0.357,-
E0009,0.222,0.667,0.355,scikit-learn
E0465,0.171,0.778,0.353,scikit-learn
E0428,0.166,0.778,0.349,python
E0242,0.21,0.667,0.347,python
E0414,0.208,0.667,0.345,python
E0253,0.204,0.667,0.343,scikit-learn
E0348,0.148,0.778,0.337,-
E0015,0.195,0.667,0.336,-
E0256,0.193,0.667,0.335,python
E0338,0.187,0.667,0.331,-
E0566,0.135,0.778,0.328,-
E0221,0.135,0.778,0.328,-
E0467,0.181,0.667,0.327,-
E0332,0.18,0.667,0.326,python
E0294,0.177,0.667,0.324,scikit-learn
E0327,0.174,0.667,0.322,scikit-learn
E0027,0.167,0.667,0.317,python
E0511,0.164,0.667,0.315,python
E0111,0.162,0.667,0.314,-
E0375,0.116,0.778,0.314,scikit-learn
E0005,0.16,0.667,0.312,scikit-learn
E0537,0.108,0.778,0.309,scikit-learn
E0097,0.155,0.667,0.309,scikit-learn
E0258,0.152,0.667,0.307,python
E0193,0.199,0.556,0.306,python; scikit-learn
E0549,0.103,0.778,0.305,-
E0029,0.191,0.556,0.301,python
E0204,0.189,0.556,0.299,python
E0055,0.184,0.556,0.296,python
E0092,0.181,0.556,0.293,python
E0247,0.181,0.556,0.293,python
E0215,0.18,0.556,0.292,python
E0102,0.123,0.667,0.286,python
E0307,0.162,0.556,0.28,scikit-learn
E0285,0.16,0.556,0.278,scikit-learn
E0161,0.153,0.556,0.274,scikit-learn
E0115,0.15,0.556,0.272,scikit-learn
E0290,0.146,0.556,0.269,scikit-learn
E0489,0.147,0.556,0.269,python
E0124,0.143,0.556,0.267,python
E0396,0.143,0.556,0.266,python
E0336,0.121,0.556,0.251,scikit-learn
E0323,0.168,0.444,0.251,python
E0425,0.118,0.556,0.249,python
E0598,0.163,0.444,0.248,python
E0244,0.162,0.444,0.247,python
E0150,0.113,0.556,0.245,scikit-learn
E0120,0.108,0.556,0.242,scikit-learn
E0172,0.144,0.444,0.234,python
E0559,0.139,0.444,0.231,python; scikit-learn
E0040,0.09,0.556,0.23,python; scikit-learn
E0236,0.129,0.444,0.224,python; scikit-learn
E0387,0.069,0.556,0.215,scikit-learn
E0501,0.064,0.556,0.211,scikit-learn
E0041,0.06,0.556,0.208,scikit-learn
E0073,0.086,0.333,0.16,python; scikit-learn
E0071,0.035,0.444,0.158,scikit-learn
E0450,0.082,0.333,0.157,python; scikit-learn
E0314,0.076,0.333,0.153,python; scikit-learn
E0280,0.036,0.222,0.092,python; scikit-learn
E0525,0.025,0.222,0.084,ml; scikit-learn
E0477,0.025,0.222,0.084,ml; scikit-learn
E0061,0.023,0.222,0.083,ml; scikit-learn
E0480,0.023,0.222,0.083,ml; scikit-learn
E0207,0.023,0.222,0.083,ml; scikit-learn
E0004,0.021,0.222,0.082,ml; scikit-learn
E0404,0.022,0.222,0.082,ml; scikit-learn
E0231,0.021,0.222,0.082,ml; scikit-learn
E0399,0.022,0.222,0.082,ml; scikit-learn
E0430,0.021,0.222,0.081,ml; scikit-learn
E0144,0.021,0.222,0.081,ml; scikit-learn
E0158,0.021,0.222,0.081,ml; scikit-learn
E0316,0.019,0.222,0.08,ml; scikit-learn
E0163,0.017,0.222,0.079,ml; scikit-learn
E0481,0.017,0.222,0.079,ml; scikit-learn
E0025,0.017,0.222,0.079,ml; scikit-learn
E0515,0.018,0.222,0.079,ml; scikit-learn
E0308,0.017,0.222,0.078,ml; scikit-learn
E0510,0.016,0.222,0.078,ml; scikit-learn
E0116,0.016,0.222,0.078,ml; scikit-learn
E0087,0.016,0.222,0.078,ml; scikit-learn
E0306,0.017,0.222,0.078,ml; scikit-learn
E0062,0.016,0.222,0.078,ml; scikit-learn
E0532,0.017,0.222,0.078,ml; scikit-learn
E0149,0.017,0.222,0.078,ml; scikit-learn
E0530,0.016,0.222,0.078,ml; scikit-learn
E0013,0.015,0.222,0.078,ml; scikit-learn
E0432,0.016,0.222,0.078,ml; scikit-learn
E0026,0.016,0.222,0.078,ml; scikit-learn
E0424,0.017,0.222,0.078,ml; scikit-learn
E0431,0.017,0.222,0.078,ml; scikit-learn
E0492,0.017,0.222,0.078,ml; scikit-learn
E0272,0.016,0.222,0.078,ml; scikit-learn
E0476,0.016,0.222,0.078,ml; scikit-learn
E0295,0.017,0.222,0.078,ml; scikit-learn
E0400,0.016,0.222,0.078,ml; scikit-learn
E0268,0.016,0.222,0.078,ml; scikit-learn
E0030,0.015,0.222,0.077,ml; scikit-learn
E0597,0.015,0.222,0.077,ml; scikit-learn
E0142,0.015,0.222,0.077,ml; scikit-learn
E0140,0.015,0.222,0.077,ml; scikit-learn
E0119,0.015,0.222,0.077,ml; scikit-learn
E0100,0.015,0.222,0.077,ml; scikit-learn
E0331,0.015,0.222,0.077,ml; scikit-learn
E0594,0.015,0.222,0.077,ml; scikit-learn
E0279,0.015,0.222,0.077,ml; scikit-learn
E0362,0.015,0.222,0.077,ml; scikit-learn
E0373,0.014,0.222,0.077,ml; scikit-learn
E0454,0.015,0.222,0.077,ml; scikit-learn
E0219,0.015,0.222,0.077,ml; scikit-learn
E0216,0.014,0.222,0.077,ml; scikit-learn
E0486,0.015,0.222,0.077,ml; scikit-learn
